fakultas perikanan dan ilmu kelautan |128.1976|-3.6561
rumah pojokan aris |115.2067|-8.6557
tk wulele sanggula ii kendari |122.5879|-3.9696
bandara sultan babullah tte |127.3774|0.8325
bale udang mang engking|115.1832|-8.6998
bubur ayam mbak sri |119.4160|-5.1525
studio 1 xxi mp |119.4471|-5.1582
universitas kristen indonesia tomohon ukit  infoukit tomohon sulawesi utara |124.8370|1.3380
graha indosat makassar makassar |119.4068|-5.1333
sajowrantung residence |124.8569|1.4194
niki diagnostic center denpasar bali |115.2211|-8.6361
famika travel tour |119.4203|-5.1627
lapangan basket gor segiri |117.1481|-0.4918
pelabuhan soekarno hatta |119.4087|-5.1226
sman 1 kuta utara badung bali |115.1732|-8.6140
negeri passo |128.2487|-3.6286
kepiting kenari tarakan|117.5751|3.3237
bank bpd bali kcp ngurah rai badung |115.1815|-8.7356
ruang xii osaka senior hight school |115.1559|-8.8368
polrestabes makassar makassar sulawesi selatan |119.4084|-5.1321
double dipps coffee|123.0598|0.5350
mcdonaldsid denpasar bali|115.1917|-8.6819
ptkelola jasa artha denpasar 2b |115.2201|-8.6375
litas |115.1830|-8.6371
chevron main office balikpapan east borneo |116.8269|-1.2701
grand celino hotel makassar sulawesi selatan |119.4190|-5.1519
rumah sakit umum daya makassar sulawesi selatan |119.5116|-5.1144
matahari department store manado sulawesi utara|124.8309|1.4718
universitas sam ratulangi unsrat  kusunsrat manado sulawesi utara|124.8276|1.4553
lottemart makassar sulawesi selatan |119.4458|-5.1576
my office admin keuangan divisi pt citra arya persada |124.8516|1.4801
bagian adm pembangunan setda pangkep |119.5632|-4.8467
pasar pannu |119.4270|-5.1182
gedung c universitas fajar |119.4502|-5.1495
intercontinental hotel  resorts pic |115.1663|-8.7790
stie ypup makassar makassar sulawesi selatan |119.4210|-5.1725
manado international school mis  manadointschool minahasa utara sulawesi utara|124.9289|1.4637
100 sunset boutique 2 hotel  aston100sunset |115.1847|-8.7169
sekolah tinggi pariwisata stp bali  stpnusadua badung bali|115.1921|-8.8126
toko muda |119.4121|-5.1382
bankbriid minahasa selatan sulawesi utara |124.5718|1.1839
pt prasetia dwidharma |119.4460|-5.1634
kfc mtos |119.4738|-5.1436
ramayana bali mall |115.2160|-8.6660
banjar kelandis |115.2260|-8.6594
masakan nasioal |124.8445|1.4726
jalan raya sempidi badung bali |115.1859|-8.6044
kantor bmkg negara |114.6177|-8.3408
pt titan artha griya dauhpuri bali |115.2150|-8.6629
ajp head office |117.1315|-0.4833
dunkin donuts  dunkinindonesia manado sulawesi utara|124.8309|1.4724
layali lebanese restaurant |115.1701|-8.7028
kemala beach  resto  maxbalikpapan|116.8187|-1.2803
fisip undiknas university |115.2312|-8.7049
fakultas teknik universitas hasanuddin |119.4904|-5.1388
pantai jodoh banjarmasin |114.5919|-3.3272
xii ipa unggulan 1  sman 5 makassar makassar indonesia |119.4380|-5.1386
kfc  kfcindonesia manado sulawesi utara |124.8464|1.4891
laboratorium bahasa sman 2 banjarmasin banjarmasin |114.5832|-3.3174
24 mart kus|124.8280|1.4634
bachols biker cafe |119.4203|-5.1469
bakso ba nyuk nyang|124.8370|1.4624
jro subamia jl kaswari 520 tabanan bali indonesia pic |115.1247|-8.5373
ruang 14 sman 8 denpasar |115.2205|-8.6049
kantor bri cabang pembantu jayapura kota |140.6998|-2.5443
kung melayu |114.5997|-3.3133
dayu anggi s home |115.1948|-8.6060
jalan pengayoman makassar sulawesi selatan |119.4468|-5.1584
keldapamanisrumimpunu|124.8238|1.4599
depan mes meranti panply |120.2341|-3.0693
jl tomohon  tondano |124.8390|1.3219
desa bangunan wuwuk boltim sulawesi utara |124.3582|0.7260
dangau landak ngabang west borneo |109.9596|0.3825
galeria xxi  cinema21 badung bali|115.1832|-8.7230
warung be sanur|115.2280|-8.6690
nasi ayam kedewatan ibu mangku denpasar bali|115.2381|-8.6781
pasar baru traditional market balikpapan |116.8418|-1.2768
hotel made bali |115.1867|-8.5991
jalan danau beratan sanur kaja denpasar bali |115.2541|-8.6827
echo beach badung bali |115.1252|-8.6554
lawar kartika |115.2541|-8.6550
nasi lawar bukit  jimbaran |115.1700|-8.7975
shoeline pic |119.4183|-5.1525
lab nursing 3 dlsu manado sulawesi utara |124.8715|1.4971
gereja katolik santa theresia|116.8200|-1.2750
kantor dinas pekerjaan umum pemda kotim sit central borneo |112.9497|-2.5608
gerbang toll tamalanrea makassar |119.4821|-5.0883
medica laundry makassar sulsel |119.4421|-5.1791
tanjung rema|114.8544|-3.4213
jimbaran |115.1666|-8.8218
hotel ibis balikpapan|116.8348|-1.2750
omega digital printing pic |115.3099|-8.4300
mess diponegoro |115.2147|-8.6657
circle k |119.4450|-5.1588
uss liberty wreck|115.5921|-8.2763
warkop pindu makassar sulawesi selatan |119.4296|-5.1446
siloam hospitals badung bali|115.1853|-8.7152
sibusibu coffee shop |128.1817|-3.6966
bengkel tunas mekar |115.2247|-8.6604
ruang keuangan rspancaran kasih manado |124.8357|1.4792
little fish technologies |115.2528|-8.6771
rkft 3 fkuh |119.4876|-5.1309
bni  bni46 |115.2268|-8.6725
warung kopi segar |110.5930|0.1212
kfc  kfcindonesia|124.8262|1.4630
bukit batu pertapaan tjilik riwut kasongan central borneo |113.4678|-1.8942
swissbelinn balikpapan balikpapan kalimantan timur|116.8527|-1.2711
jl maranatha paslaten tomohon tomohon |124.8397|1.3232
rs pelamonia|119.4146|-5.1385
beacukai pantoloan |119.8599|-0.7198
hotel roditha banjarbaru kalimantan selatan |114.8458|-3.4425
gerbang tol ngurah rai |115.1990|-8.7830
shmily castle |122.5882|-5.4820
ruang b4 uit |119.4375|-5.1606
bidang cipta karya dinas pu prov sulut |124.8511|1.4831
bank kalbar kantor pusat pontianak kalimantan barat indonesia |109.3411|-0.0241
ahmad dani masterpiece family karaoke|122.5172|-3.9897
irama indah yamaha music school denpasar |115.2152|-8.6636
mutiara bali resort  spa |115.1589|-8.6824
gubuk kecilku |108.9918|0.9241
sudamala suites  villas |115.2561|-8.7077
bank bni |113.9104|-2.2004
pt unilever indonesia tbk depo papua maluku |131.3160|-0.8835
sma katolik aquino amurang amurang sulawesi utara|124.5677|1.1830
spbu belitung banjarmasin indonesia |114.5753|-3.3018
bandara tjilik riwut palangkaraya kalimantan tengah |113.9453|-2.2241
ruang e7 ilmu komunikasi |122.5091|-3.9921
pascasarjana unsrat  ppsunsrat|124.8277|1.4591
bank sulut divisi trisuri manado north sulawesi |124.8388|1.4906
kospin karya bakti denpasar bali |115.2181|-8.6752
pinaras village tomohon nort sulawesi |124.7796|1.2930
solaria|116.8591|-1.2731
doremi pizza  chicken|115.0743|-8.1195
natasha skin clinic center by dr fredy setyawan |119.4433|-5.1589
aston hotel jayapura|140.7034|-2.5413
btn paopao |119.4818|-5.1531
elvinas home  elvinjul |116.8851|-1.2315
disperindag prov bali |115.2300|-8.6720
tri villa pic |115.1702|-8.6838
ayungs river residence |115.1711|-8.5975
rsu dr haulussy kudamati ambon maluku |128.1661|-3.7081
posko kkn desa tiga |115.3430|-8.3845
grand clarion hotel  convention  kendari|122.5284|-3.9700
sma dwijendra xii ipa 4 |115.2255|-8.6543
sentani airport departures gate 1 sentani  jayapura papua indonesia |140.5128|-2.5701
sultana residence barombong blok a13 |119.4005|-5.2126
bank bukopin balikpapan |116.8530|-1.2718
kuta seaview   boutique resort  spa  ramahotelsbali |115.1694|-8.7193
pelabuhan gilimanuk  infoasdp jembrana bali|114.4365|-8.1626
apotik qaisar farma ambon maluku |128.1868|-3.6840
kantor bupati tolitoli bag adm pemb |120.7965|1.0230
gereja toraja jemaat tello batua |119.4653|-5.1474
smp negeri 1 blahbatuh |115.3008|-8.5132
suzuki united indobali|115.2544|-8.6502
manado city |124.7695|1.4583
mie naga mallengkeri cabang btp |119.4273|-5.1872
